$G   S   H   Cp
7461.601963466092 31.818134946752252 14429.773516804835 28.69588640596703
7429.718551848397 31.948451978951198 14458.37798721766 28.51502938383419
7397.705521132554 32.0773838113837 14486.807343448352 28.345482771510433
7365.564225424467 32.20499174908582 14515.072393721519 28.186262479903235
7333.295960066288 32.33133211774657 14543.183022323774 28.03650418682082
7300.901966321545 32.45645683696239 14571.148297801119 27.89543542876345
7268.383435529584 32.5804139113643 14598.976565586552 27.76238011456371
7235.741512804402 32.70324785248704 14626.675527466472 27.636729692312656
7202.977300340745 32.82500004361282 14654.252310240856 27.517938258461072
7170.091860380259 32.945709056730266 14681.71352531476 27.40551852612043
7137.086217882252 33.06541092756561 14709.065320294776 27.299027230219508
7103.961362936766 33.18413939650782 14736.313424133565 27.198071027851256
7070.718252952009 33.301926119747804 14763.463186613752 27.102287835805328
7037.357814643444 33.41880085545199 14790.519613108307 27.011348749147146
7003.880945847955 33.53479162874464 14817.487395345457 26.9249515102274
6970.2885171831695 33.649924875817305 14844.370938124419 26.842823898914503
6936.581373569219 33.764225575851015 14871.174383894207 26.764717568221386
6902.760335627966 33.87771736447576 14897.901633644244 26.69039634083674
6868.826200972675 33.990422639180906 14924.55636645855 26.61965113293263
6834.779745399419 34.10236265203821 14951.142056584513 26.552278449344158
6800.6217239901825 34.21355759251128 14977.66198860038 26.48810396749468
6766.352872136233 34.324026664307894 15004.119271570127 26.426953773807327
6731.97390648947 34.43378815336473 15030.516851450371 26.368671441832703
6697.485525848425 34.54285949032965 15056.857522508199 26.313113524338405
6662.888411984833 34.651257307132255 15083.14393761797 26.26013994704408
6628.183230416114 34.75899748877964 15109.378617678347 26.20962246946874
6593.370631128398 34.866095220559146 15135.56396016539 26.16144331823307
6558.45124925427 34.97256503110293 15161.702246905592 26.11549210641897
6523.425705709019 35.078420832496704 15187.795651335706 26.07166266625427
6488.294607788694 35.18367595706877 15213.846245141749 26.029853186355467
6453.058549733017 35.2883431907685 15239.856004234374 25.989975973425317
6417.718113255823 35.39243480445293 15265.826814369055 25.951943570271396
6382.273868045517 35.49596258244492 15291.760476239191 25.915666519358638
6346.726372237751 35.59893785022723 15317.658710495012 25.88107456185753
6311.076172862307 35.70137149822585 15343.523161913448 25.84808887222607
6275.323806266054 35.80327400550232 15369.355403663641 25.81664617664501
6239.469798513597 35.9046554609904 15395.156941066149 25.786671264540928
6203.514665767197 36.00552558382333 15420.92921522597 25.758108215359243
6167.458914647269 36.10589374134179 15446.67360617211 25.730893928903242
6131.303042574803 36.205768967874974 15472.391436286547 25.704974435302574
6095.047538096833 36.305159979792734 15498.08397286315 25.680299801297224
6058.692881196027 36.40407519178552 15523.752431060264 25.65681181695254
6022.239543585414 36.50252273096157 15549.397976366385 25.63446522317463
5985.68798898912 36.60051045008004 15575.02172691009 25.613214879922452
5949.038673409966 36.69804594105699 15600.624755907953 25.593012797253323
5912.292045384733 36.79513654619768 15626.20809358092 25.573825510764436
5875.448546227751 36.89178936956523 15651.772729162538 25.55560364608027
5838.508610263564 36.9880112885312 15677.319613012864 25.53831429540878
5801.472665049202 37.08380896250674 15702.8496580385 25.521920706069068
5764.341131586701 37.17918884349274 15728.363741642755 25.506387098448613
5727.114424526384 37.27415718435623 15753.862707118209 25.491681758558116
5689.792952361393 37.36872004801626 15779.347365325782 25.47776853407413
5652.377117613971 37.462883314901774 15804.818495952351 25.464619089416374
5614.867317013885 37.556652690409464 15830.27684880526 25.452208736714965
5577.263941669439 37.65003371313469 15855.723145355209 25.440504099424288
5539.567377231438 37.743031760874146 15881.158079710953 25.42947791807819
5501.778004050463 37.83565205735613 15906.5823198234 25.419109799258877
5463.896197327803 37.92789967847057 15931.996508585678 25.409370036595647
5425.922327260339 38.01977955795337 15957.401264813423 25.40024086547419
5387.856759179701 38.111296493343616 15982.797184329225 25.39169393485281
5349.699853685958 38.20245515139504 16008.184840925176 25.383711059021152
5311.451966776114 38.2932600723052 16033.56478702157 25.376270405740797
5273.11344996765 38.3837156753998 16058.937554754993 25.369350272376323
5234.684650417352 38.473826263771116 16084.303656800806 25.362933585074643
5196.165911035642 38.56359602768862 16109.66358687152 25.357005417026812
5157.557570596609 38.65302905023782 16135.01782086415 25.351539472103468
5118.859963843972 38.74212930977592 16160.366817130109 25.34652446174732
5080.073421593101 38.830900685070446 16185.711017523248 25.3419461680096
5041.198270829331 38.91934695816417 16211.050847822447 25.337782178576163
5002.23483480271 39.0074718181495 16236.386718429765 25.3340220501741
4963.183433119325 39.09527886444266 16261.719024943253 25.330653725359298
4924.044381829367 39.182771609830525 16287.04814868022 25.327655596629484
4884.817993512111 39.26995348388118 16312.374457321534 25.32502082940482
4845.504577357863 39.35682783553602 16337.698305334383 25.32273239312417
4806.1044392471 39.44339793592917 16363.020034474346 25.320783543975267
4766.6178818268345 39.5296669812069 16388.339974301663 25.31915193558234
4727.045204584397 39.61563809502877 16413.658442617885 25.317835578607628
4687.386703918678 39.701314331068716 16438.975745915017 25.316821560227254
4647.64267320898 39.786698675243315 16464.292179756245 25.31609396701242
4607.813402881567 39.87179404807648 16489.608029208357 25.315647389106744
4567.899180473985 39.956603306700345 16514.923569177387 25.315472827969643
4527.900290697278 40.041129247356366 16540.239064904188 25.315557636167796
4487.817015496155 40.12537460685053 16565.554772158164 25.315895729727345
4447.649634107207 40.20934206509992 16590.87093776738 25.31647396590415
4407.398423115254 40.2930342459058 16616.187799624713 25.317289255144715
4367.063656507864 40.3764537200459 16641.505587401818 25.31832384665904
4326.645605728179 40.459603005956524 16666.82452254492 25.319579069946485
4286.144539726039 40.542484572279136 16692.144818843455 25.321046432873118
4245.560725007521 40.625100838178696 16717.46668232838 25.32271374366246
4204.894425682952 40.70745417602666 16742.790311899163 25.324577659921488
4164.145903513417 40.78954691221952 16768.11589938925 25.326626974492683
4123.315417955866 40.87138132877044 16793.443629874702 25.328855882435164
4082.403226206845 40.95295966485537 16818.773681976865 25.331271496906993
4041.409583244891 41.03428411749519 16844.10622790339 25.333845111345
4000.3347418716985 41.11535684357932 16869.441433912027 25.33659097589407
3959.178952752016 41.196179960252266 16894.779460271227 25.339488814825017
3917.942464452413 41.27675554682355 16920.12046170183 25.34254057209182
3876.625523478874 41.35708564547258 16945.46458744821 25.34573664142954
3835.2283743133294 41.437172262453714 16970.811981511157 25.34907586468762
3793.7512594491172 41.51701736873292 16996.162782706186 25.352549402487057
3752.1944194254393 41.59662290144297 17021.517124985745 25.356154030305333
3710.558092860836 41.6759907652704 17046.875137747364 25.359889684295922
3668.842516485719 41.75512283206899 17072.236945579865 25.36374856463226
3627.0479251739876 41.8340209427015 17097.60266872387 25.367723069211934
3585.1745519737888 41.91268690819925 17122.972423322146 25.37180836952757
3543.2226281374055 41.99112250978487 17148.346321307705 25.376006876649626
3501.1923831503395 42.069329499440755 17173.724470468587 25.38031209842302
3459.084044759605 42.14730960218276 17199.106975071183 25.384718137684104
3416.8978390012626 42.225064515309896 17224.4939355076 25.38922342209844
3374.633990227211 42.30259591008689 17249.885448735713 25.39382368722727
3332.2927211312735 42.37990543133492 17275.281608040463 25.39851268502389
3289.8742527746003 42.45699469961437 17300.682503647342 25.4032945353174
3247.378804610398 42.5338653104518 17326.088222369945 25.408158673417347
3204.806594508028 42.610518836090705 17351.49884809014 25.4131060482905
3162.157838776484 42.68695682501402 17376.914461506152 25.418134914070833
3119.432752187261 42.76318080389956 17402.335140689713 25.423236612186884
3076.6315479966565 42.83919227671049 17427.76096069467 25.42841679733101
3033.754437967504 42.91499272640067 17453.19199403813 25.433662038631155
2990.801632390377 42.99058361475545 17478.628310562963 25.43898206185986
2947.773340104236 43.06596638305109 17504.069977575506 25.44436206426326
2904.6697685166173 43.14114245305518 17529.517060102324 25.449813221894146
2861.49112362328 43.216113226503694 17554.969620634536 25.45531857667811
2818.2376100274205 43.29088008701092 17580.427719698142 25.460888056295516
2774.909430958392 43.36544439881891 17605.891415354457 25.46651532757096
2731.506788289998 43.43980750875289 17631.36076379224 25.472195103793638
2688.0298825583504 43.51397074549368 17656.835819008178 25.477927464635286
2644.4789129793 43.58793542071453 17682.31663312581 25.483710483604227
2600.854077465479 43.661702829558635 17707.803256492767 25.489542951254407
2557.155572642927 43.73527425011616 17733.295737433233 25.495424389919208
2513.3835938673565 43.80865094469755 17758.7941226221 25.501349918340566
2469.5383352400395 43.88183415999265 17784.298457077475 25.507327649756917
2425.6199896233225 43.95482512736635 17809.808784201545 25.51333590381546
2381.6287486558426 44.027625063108644 17835.325145806975 25.519395406445256
2337.5648027673255 44.10023516850288 17860.84758208034 25.525484261197562
2293.4283411931497 44.17265663116723 17886.37613199518 25.53162241674727
2249.219551988504 44.24489062387238 17911.910832839327 25.5377853383834
2204.938622042317 44.31693830642871 17937.45172082451 25.543993776773277
2160.5857370908193 44.38880082443575 17962.998830589946 25.55023103923304
2116.161081730866 44.46047931103294 17988.552195769626 25.55650333979429
2071.6648394329427 44.53197488599017 18014.111848617424 25.562805121808196
2027.0971925539297 44.60328865683323 18039.677820357057 25.56914154356491
1982.458322349561 44.674421718275426 18065.250140928714 25.575505096639972
1937.748408986662 44.74537515334305 18090.828839343503 25.58189533465338
